How important is social media in your life?,Do you follow any influencers on social media?,How important is it to be engaged in social issues?,How often do you engage with content posted by influncers,How often do you seek out advice on social topics from influencers,How often do you only use information from influencers when making a decision,How often do you use other sources of information (not influencers) when making decisions about social issues,The trend of engaging with influencers among people around me is increasing,People around me generally believe that it is good to engage with social media influencers,My close friends and family members would appreciate if I spent more time engaged with influencers,"I get all the required support (money, time, information related) from friends and family to engage social media influencers",I am more likely to purchase something if I see an influencer promoting it,I am more willing to try something if I see an influencer promoting it,I am more interested in trying new things if I see an influencer using and promoting it,I have more interest in topics when they are discussed by influencers I follow,I am willing to learn more about social issues when I see an influencer promotion,I can relate myself with influencers when they share their point of view on social issues,I am willing to take part in movements to improve social issues when I see influencer promotion,I am more willing to participate in events to improve social issues if they are hosted by influencers,I tend to notice social influencers that share similar values with me,I tend to be influenced by influencers who share a similar values with me,I tend to pay more attention on influencers who spread positivity,I tend to follow influencers that show interests in social/public well-being rather than themselves,I will share with family and friends the social issue promotions that I recognise,The influencers that I follow are honest in their communications,I trust the influencers that I follow,The influencers that I follow put out reliable information to their followers,The influencers that I follow are sincere,The influencers I follow know a lot about the topics they promote,The influencers I follow are competent to make assertions about the topics they promote,I consider the influencers I follow experts on the topics they talk about,I consider the influencers I follow sufficiently experienced to make assertions about the topics they discuss,I like to keep up to date with the latest topics and products,I like to learn about new trends,I like getting recommendations on the next big thing,I get excited about new ideas,I enjoy thinking about things,I enjoy hearing new ideas,I have a vivid imagination,I regularly spend time with friends,Social_2_new,I would consider myself an extravert,I enjoy going to live events,Up_to_date_P,Social_P,Openness_to_experience_P,Storytelling content attracts my attention,I am more engaged with messages from people than those coming directly from organisations,I empathise with others,I become more aware of social issues through storytelling,Storytelling content creates new insights for me,How old are you?,What is your gender?,What is your highest level of achieved (completed) education?,Are you a student?,What is your current employment status? - Selected Choice,What is your annual income (in AUD)?,Willingness,selfreflection,Trust,Engagement
RQ1,RQ2,RQ3,RQ4,RQ5,RQ6,RQ7,RQ8,RQ9,RQ10,RQ11,RQ12,RQ13,RQ14,RQ15,RQ16,RQ17,RQ18,RQ19,RQ20,RQ21,RQ22,RQ23,RQ24,RQ25,RQ26,RQ27,RQ28,RQ29,RQ30,RQ31,RQ32,RQ33,RQ34,RQ35,RQ36,RQ37,RQ38,RQ39,RQ40,RQ41,RQ42,RQ43,RQ44,RQ45,RQ46,RQ47,RQ48,RQ49,RQ50,RQ51,RQ52,RQ53,RQ54,RQ55,RQ56,RQ57,RQ58,RQ59,RQ60,RQ61
4,"Yes, I follow a many (between 5-24)",3,3,3,5,3,4,4,4,4,5,4,4,4,4,2,5,4,5,5,5,5,4,3,3,3,5,4,4,4,4,4,4,4,5,5,5,4,5,4,5,5,4,4.75,4.75,5,5,5,5,5,24-34,Female,High school graduate,Yes,Employed full time,"$50,000 - $79,999",4.400000095,4.75,3.5,3.75
3,"Yes, I follow a few (less than 5)",2,1,2,2,4,4,3,1,2,2,4,4,2,2,4,4,2,2,2,4,4,2,3,2,2,3,3,2,2,2,2,4,4,4,4,4,5,5,4,4,2,3.33,3.75,4.25,4,4,4,4,4,18-24,Female,High school graduate,Yes,Unemployed not looking for work,"Less than $10,000",2.799999952,3,2.5,3
2,"Yes, I follow a many (between 5-24)",5,2,2,1,1,5,4,3,4,2,2,2,4,4,3,4,4,5,4,5,4,5,5,4,5,4,4,4,4,4,2,2,1,5,4,5,5,5,1,1,2,1.67,2.25,4.75,5,5,5,5,5,18-24,Female,Bachelor's degree,No,Unemployed not looking for work,"Less than $10,000",2.799999952,4.75,4.5,3.75
4,"Yes, I follow a many (between 5-24)",5,4,3,3,1,4,2,2,2,4,4,4,2,2,4,2,2,4,2,1,2,4,2,2,3,2,4,4,4,4,2,2,2,4,4,4,5,5,2,4,5,2,4,4.25,5,5,5,5,5,18-24,Female,Associate's degree or Diploma,Yes,Employed part time,"Less than $10,000",3.200000048,2.75,2.25,2.5
3,No,3,3,2,3,5,3,1,1,3,2,2,2,3,1,1,1,1,4,3,4,4,3,3,3,3,3,4,4,2,4,2,3,3,4,2,4,4,4,1,2,3,2.67,2.5,3.5,4,4,5,3,3,24-34,Male,Bachelor's degree,No,Unemployed looking for work,"Less than $10,000",2.400000095,3.75,3,1
5,"Yes, I follow a many (between 5-24)",4,2,1,3,2,5,3,2,2,4,4,4,5,4,4,2,4,4,4,4,4,4,3,4,4,3,4,5,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4.25,4,4,4,3,4,4,24-34,Male,Bachelor's degree,Yes,Unemployed looking for work,"Less than $10,000",4.199999809,4,3.5,3.5
2,"Yes, I follow a few (less than 5)",4,3,2,1,2,3,3,3,1,1,1,1,2,3,2,3,2,4,3,4,4,1,4,4,4,4,3,3,1,3,4,3,2,4,5,4,4,4,3,3,3,3,3.25,4.25,3,3,5,3,3,24-34,Male,Bachelor's degree,No,Employed full time,"$50,000 - $79,999",1.600000024,3.25,4,2.5
4,"Yes, I follow a many (between 5-24)",4,4,2,2,2,4,3,2,2,4,4,4,4,4,3,2,2,4,4,4,3,4,3,4,3,4,3,4,2,4,3,2,2,2,4,4,4,2,2,2,3,2.33,2.25,3.5,4,4,4,4,4,18-24,Female,High school graduate,Yes,Unemployed not looking for work,"Less than $10,000",4,3.75,3.5,2.75
4,"Yes, I follow a few (less than 5)",4,3,2,1,1,2,3,3,1,4,4,4,2,2,3,1,2,4,4,4,2,2,4,2,4,4,4,4,1,4,4,4,4,5,4,5,2,4,1,1,4,4,2.5,4,4,4,5,4,4,18-24,Female,Bachelor's degree,No,Employed full time,"$50,000 - $79,999",3.599999905,3,3.5,2
3,"Yes, I follow a lot (more than 25)",4,3,3,2,2,4,3,2,3,4,4,4,3,3,4,2,3,4,4,3,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,2,3,2,4,2.5,4,5,5,5,5,5,18-24,Female,Bachelor's degree,No,Employed full time,"$30,000 - $49,999",3.799999952,3.5,3.25,3
3,"Yes, I follow a few (less than 5)",1,2,2,3,3,2,2,2,3,1,2,1,1,1,1,1,1,3,3,3,3,3,2,3,3,2,3,2,3,1,2,3,3,3,3,2,2,3,1,2,5,2.67,2.75,2.5,5,5,4,5,3,18-24,Male,Bachelor's degree,No,Unemployed not looking for work,"$10,000 - $29,999",1.600000024,3,2.5,1
4,"Yes, I follow a few (less than 5)",4,4,4,3,4,2,3,2,4,2,3,4,3,3,3,3,2,4,4,1,1,4,4,4,2,4,4,4,3,5,3,4,4,5,3,4,5,4,3,5,4,3.67,4,4.25,4,3,3,4,4,18-24,Male,Bachelor's degree,Yes,Unemployed not looking for work,"More than $150,000",3.200000048,2.5,3.5,2.75
